Website Data Type,Website Data,Source
Total Visits,0.1445386619212503,Main
Total Visits,0.0,Competitor 1
Total Visits,0.0,Competitor 2
Total Visits,0.0,Competitor 3
Total Visits,0.0,Competitor 4
Total Visits,0.0,Competitor 5
