Website Data Type,Website Data
Adwords Cost,0.0
Adwords Keywords,0.0
Adwords Traffic,0.0
Average Visit Duration,131.0
Bounce Rate,0.5472
Category Rank,1718.0
Direct,
Display,
Mail,
Number of Keywords 1-3,329.0
Number of Keywords 3-10,440.0
Organic Cost,16542.0
Organic Keywords,5427.0
Organic Keywords Percentage,
Organic Search,
Organic Traffic,33647.0
PLA Keywords,0.0
PLA Uniques,0.0
Pages per Visit,1.17
Paid Keywords Percentage,
Paid Search,
Rank,13013.0
Referrals,
SERP Features Positions,504.0
SERP Features Positions Branded,
SERP Features Traffic,
Social,
Total Keywords #5,
Total Visits,33500.0
