Website Data Type,Website Data
Category Rank,0.0
Total Visits,434.0
Bounce Rate,
Pages per Visit,
Average Visit Duration,
Total Keywords #5,
Organic Keywords Percentage,
Paid Keywords Percentage,
Direct,0.6687000000000001
Referrals,0.1777
Organic Search,0.0993
Paid Search,0.0347
Social,0.0044
Mail,0.0143
Display,0.001
