Website Data Type,Website Data
Category Rank,801.0
Total Visits,42200.0
Bounce Rate,0.42619999999999997
Pages per Visit,3.03
Average Visit Duration,158.0
Total Keywords #5,261.0
Organic Keywords Percentage,
Paid Keywords Percentage,
Direct,0.523
Referrals,0.1986
Organic Search,0.1856
Paid Search,0.0242
Social,0.0432
Mail,0.0168
Display,0.0085
