Website Data Type,Website Data,SemRush API Data Type: Competitor_3,SemRush API Data: Competitor_3
,,,
,,,
,,,
Category Rank,1875.0,Rank,
Total Visits,,Organic Keywords,
Bounce Rate,,Organic Traffic,
Pages per Visit,,Organic Cost,
Average Visit Duration,,Adwords Keywords,
,,Adwords Traffic,
Total Keywords #5,,Adwords Cost,
Organic Keywords Percentage,,PLA Keywords,
Paid Keywords Percentage,,PLA Uniques,
,,SERP Features Positions,
Direct,,SERP Features Positions Branded,
Referrals,,SERP Features Traffic,
Organic Search,,Number of Keywords 1-3,
Paid Search,,Number of Keywords 3-10,
Social,,,
Mail,,,
Display,,,
