Website Data Type,Website Data
Category Rank,1875.0
Total Visits,
Bounce Rate,
Pages per Visit,
Average Visit Duration,
Total Keywords #5,
Organic Keywords Percentage,
Paid Keywords Percentage,
Direct,
Referrals,
Organic Search,
Paid Search,
Social,
Mail,
Display,
