Website Data Type,Website Data
Adwords Cost,
Adwords Keywords,
Adwords Traffic,
Average Visit Duration,
Bounce Rate,
Category Rank,0.0
Direct,0.6687000000000001
Display,0.001
Mail,0.0143
Number of Keywords 1-3,
Number of Keywords 3-10,
Organic Cost,
Organic Keywords,
Organic Keywords Percentage,
Organic Search,0.0993
Organic Traffic,
PLA Keywords,
PLA Uniques,
Pages per Visit,
Paid Keywords Percentage,
Paid Search,0.0347
Rank,
Referrals,0.1777
SERP Features Positions,
SERP Features Positions Branded,
SERP Features Traffic,
Social,0.0044
Total Keywords #5,
Total Visits,434.0
