Website Data Type,Website Data
Category Rank,1718.0
Total Visits,33500.0
Bounce Rate,0.5472
Pages per Visit,1.17
Average Visit Duration,131.0
Total Keywords #5,
Organic Keywords Percentage,
Paid Keywords Percentage,
Direct,
Referrals,
Organic Search,
Paid Search,
Social,
Mail,
Display,
