Website Data Type,Website Data,SemRush API Data Type: Competitor_2,SemRush API Data: Competitor_2
,,,
,,,
,,,
Category Rank,801.0,Rank,18812.0
Total Visits,42200.0,Organic Keywords,3959.0
Bounce Rate,0.42619999999999997,Organic Traffic,21542.0
Pages per Visit,3.03,Organic Cost,23812.0
Average Visit Duration,158.0,Adwords Keywords,0.0
,,Adwords Traffic,0.0
Total Keywords #5,261.0,Adwords Cost,0.0
Organic Keywords Percentage,,PLA Keywords,0.0
Paid Keywords Percentage,,PLA Uniques,0.0
,,SERP Features Positions,250.0
Direct,0.523,SERP Features Positions Branded,
Referrals,0.1986,SERP Features Traffic,
Organic Search,0.1856,Number of Keywords 1-3,178.0
Paid Search,0.0242,Number of Keywords 3-10,269.0
Social,0.0432,,
Mail,0.0168,,
Display,0.0085,,
