Website Data Type,Website Data
Adwords Cost,
Adwords Keywords,
Adwords Traffic,
Average Visit Duration,
Bounce Rate,
Category Rank,1875.0
Direct,
Display,
Mail,
Number of Keywords 1-3,
Number of Keywords 3-10,
Organic Cost,
Organic Keywords,
Organic Keywords Percentage,
Organic Search,
Organic Traffic,
PLA Keywords,
PLA Uniques,
Pages per Visit,
Paid Keywords Percentage,
Paid Search,
Rank,
Referrals,
SERP Features Positions,
SERP Features Positions Branded,
SERP Features Traffic,
Social,
Total Keywords #5,
Total Visits,
