Social Platform,Social Data Type,Social Data
Instagram,Followers Count,2702.0
Facebook,Followers Count,157.0
Instagram,Average Likes per 5 posts,69.8
Linkedin,Average Likes per 5 posts,5.0
Facebook,Average Likes per 5 posts,3.8
Instagram,Average Comments per 5 posts,0.2
Linkedin,Average Comments per 5 posts,0.0
