Social Platform,Social Data Type,Social Data
Instagram,Followers Count,6345.0
Facebook,Followers Count,2633.0
Instagram,Average Likes per 5 posts,265.0
Linkedin,Average Likes per 5 posts,59.0
Facebook,Average Likes per 5 posts,66.0
Instagram,Average Comments per 5 posts,2.5
Linkedin,Average Comments per 5 posts,3.6
