Social Platform,Social Data Type,Social Data
Instagram,Followers Count,4367.0
Facebook,Followers Count,1234.0
Instagram,Average Likes per 5 posts,352.0
Linkedin,Average Likes per 5 posts,236.0
Facebook,Average Likes per 5 posts,129.0
Instagram,Average Comments per 5 posts,12.0
Linkedin,Average Comments per 5 posts,6.3
