Social Platform,Social Data Type,Social Data
Instagram,Followers Count,5920.0
Facebook,Followers Count,3520.0
Instagram,Average Likes per 5 posts,200.0
Linkedin,Average Likes per 5 posts,150.0
Facebook,Average Likes per 5 posts,150.0
Instagram,Average Comments per 5 posts,1.0
Linkedin,Average Comments per 5 posts,0.0
