Social Platform,Social Data Type,Social Data
Instagram,Followers Count,3038.0
Facebook,Followers Count,157.0
Instagram,Average Likes per 5 posts,17.2
Linkedin,Average Likes per 5 posts,5.0
Facebook,Average Likes per 5 posts,3.8
Instagram,Average Comments per 5 posts,0.0
Linkedin,Average Comments per 5 posts,0.0
