Social Platform,Social Data Type,Social Data
Instagram,Followers Count,3969.0
Facebook,Followers Count,157.0
Instagram,Average Likes per 5 posts,93.4
Linkedin,Average Likes per 5 posts,5.0
Facebook,Average Likes per 5 posts,3.8
Instagram,Average Comments per 5 posts,1.8
Linkedin,Average Comments per 5 posts,0.0
