Website Data Type,Website Data,Source
Adwords Cost,1.0,Competitor 4
Adwords Keywords,0.0,Competitor 4
Adwords Traffic,1.0,Competitor 4
Average Visit Duration,1.0,Competitor 4
Bounce Rate,0.0,Competitor 4
Category Rank,0.0,Competitor 4
Direct,1.0,Competitor 4
Display,1.0,Competitor 4
Mail,1.0,Competitor 4
Number of Keywords 1-3,0.0,Competitor 4
Number of Keywords 3-10,0.0,Competitor 4
Organic Cost,0.0,Competitor 4
Organic Keywords,1.0,Competitor 4
Organic Keywords Percentage,1.0,Competitor 4
Organic Search,1.0,Competitor 4
Organic Traffic,0.9999999999999996,Competitor 4
PLA Keywords,1.0,Competitor 4
PLA Uniques,1.0,Competitor 4
Pages per Visit,0.9999999999999999,Competitor 4
Paid Keywords Percentage,1.0,Competitor 4
Paid Search,1.0,Competitor 4
Rank,1.0,Competitor 4
Referrals,0.0,Competitor 4
SERP Features Positions,0.0,Competitor 4
SERP Features Positions Branded,1.0000000000000002,Competitor 4
SERP Features Traffic,0.0,Competitor 4
Social,0.9999999999999999,Competitor 4
Total Keywords #5,0.0,Competitor 4
Total Visits,0.0,Competitor 4
