Social Platform,Social Data Type,Social Data
Instagram,Followers Count,1600.0
Linkedin,Followers Count,
Facebook,Followers Count,157.0
Instagram,Average Likes per 5 posts,25.2
Linkedin,Average Likes per 5 posts,5.0
Facebook,Average Likes per 5 posts,3.8
Instagram,Average Comments per 5 posts,0.4
Linkedin,Average Comments per 5 posts,0.0
Facebook,Average Comments per 5 posts,0.0
