Website Data Type,Website Data,Source
Adwords Cost,1.0,Competitor 5
Adwords Keywords,0.0,Competitor 5
Adwords Traffic,1.0,Competitor 5
Average Visit Duration,1.0,Competitor 5
Bounce Rate,0.0,Competitor 5
Category Rank,0.0,Competitor 5
Direct,1.0,Competitor 5
Display,1.0,Competitor 5
Mail,1.0,Competitor 5
Number of Keywords 1-3,0.0,Competitor 5
Number of Keywords 3-10,0.0,Competitor 5
Organic Cost,0.0,Competitor 5
Organic Keywords,1.0,Competitor 5
Organic Keywords Percentage,1.0,Competitor 5
Organic Search,1.0,Competitor 5
Organic Traffic,0.9999999999999996,Competitor 5
PLA Keywords,1.0,Competitor 5
PLA Uniques,1.0,Competitor 5
Pages per Visit,0.9999999999999999,Competitor 5
Paid Keywords Percentage,1.0,Competitor 5
Paid Search,1.0,Competitor 5
Rank,1.0,Competitor 5
Referrals,0.0,Competitor 5
SERP Features Positions,0.0,Competitor 5
SERP Features Positions Branded,1.0000000000000002,Competitor 5
SERP Features Traffic,0.0,Competitor 5
Social,0.9999999999999999,Competitor 5
Total Keywords #5,0.0,Competitor 5
Total Visits,0.0,Competitor 5
