Website Data Type,Website Data,Source
Adwords Cost,1.0,Competitor 3
Adwords Keywords,0.0,Competitor 3
Adwords Traffic,1.0,Competitor 3
Average Visit Duration,1.0,Competitor 3
Bounce Rate,0.0,Competitor 3
Category Rank,0.0,Competitor 3
Direct,1.0,Competitor 3
Display,1.0,Competitor 3
Mail,1.0,Competitor 3
Number of Keywords 1-3,0.0,Competitor 3
Number of Keywords 3-10,0.0,Competitor 3
Organic Cost,0.0,Competitor 3
Organic Keywords,1.0,Competitor 3
Organic Keywords Percentage,1.0,Competitor 3
Organic Search,1.0,Competitor 3
Organic Traffic,0.9999999999999996,Competitor 3
PLA Keywords,1.0,Competitor 3
PLA Uniques,1.0,Competitor 3
Pages per Visit,0.9999999999999999,Competitor 3
Paid Keywords Percentage,1.0,Competitor 3
Paid Search,1.0,Competitor 3
Rank,1.0,Competitor 3
Referrals,0.0,Competitor 3
SERP Features Positions,0.0,Competitor 3
SERP Features Positions Branded,1.0000000000000002,Competitor 3
SERP Features Traffic,0.0,Competitor 3
Social,0.9999999999999999,Competitor 3
Total Keywords #5,0.0,Competitor 3
Total Visits,0.0,Competitor 3
